snapped_at,price,market_cap,total_volume
2024-11-01 00:00:00 UTC,176.82023404463945,630465056.3664075,12096766.540259799
2024-11-02 00:00:00 UTC,174.60277738078318,623673284.766164,14697456.57001397
2024-11-03 00:00:00 UTC,174.13493462283682,622988445.6821543,6099313.542754782
2024-11-04 00:00:00 UTC,170.91255150206234,619701033.9970728,5693464.475122464
2024-11-05 00:00:00 UTC,165.17155078544909,606241587.7454653,12033940.005078373
2024-11-06 00:00:00 UTC,174.98738050241963,640982822.1632038,8960719.637353031
2024-11-07 00:00:00 UTC,196.6781643427559,717004191.4782238,21709923.9245654
2024-11-08 00:00:00 UTC,206.1140774943711,750170873.4318311,12356951.720353331
2024-11-09 00:00:00 UTC,210.23721439600055,760897350.296941,18369092.215991832
2024-11-10 00:00:00 UTC,211.57127072973282,766075093.7712253,12755181.31247803
2024-11-11 00:00:00 UTC,220.9227308352948,799515689.5734813,15339825.060664752
2024-11-12 00:00:00 UTC,233.88812548720318,855400805.5494236,21933274.699191414
2024-11-13 00:00:00 UTC,223.5114522860563,849428777.6318856,22667651.722344004
2024-11-14 00:00:00 UTC,226.24264785488515,862778363.802411,21437503.70757992
2024-11-15 00:00:00 UTC,219.69404343440084,835083909.1692361,12632044.80627897
2024-11-16 00:00:00 UTC,231.32075956886524,881656958.7839639,16279085.883887928
2024-11-17 00:00:00 UTC,228.02096914244902,869733324.2375001,11830060.94812117
2024-11-18 00:00:00 UTC,249.81584727782678,962595928.7636849,27634183.86557195
2024-11-19 00:00:00 UTC,253.1395626377205,976994366.0060819,20312109.157078277
2024-11-20 00:00:00 UTC,250.76698438300954,961236426.7226418,35108152.1505235
2024-11-21 00:00:00 UTC,249.65231166491435,956941947.7691474,16544634.744934406
2024-11-22 00:00:00 UTC,271.8563467500557,1042574124.7854944,22031377.469073746
